time,Ref,Package,LSTM
0.00000000000E+00,2.14249584910E-03,7.48780835550E-04,1.29808642670E-04
2.50000000000E-03,8.43824000510E-04,1.63579083550E-03,1.03466946170E-03
5.00000000000E-03,4.00707676580E-03,1.28779083550E-03,9.02551983020E-04
7.50000000000E-03,1.75703288960E-03,1.61869083550E-03,1.24295824210E-03
1.00000000000E-02,2.65983524070E-03,7.26630835550E-04,5.24020346350E-04
1.25000000000E-02,4.98965148180E-04,8.83670835550E-04,6.22947292870E-04
1.50000000000E-02,1.05413605700E-03,1.82290835550E-04,3.31136980090E-05
1.75000000000E-02,2.70325574640E-04,7.21000835550E-04,4.62700438220E-04
2.00000000000E-02,5.41460234830E-04,7.32260835550E-04,5.22140238900E-04
2.25000000000E-02,-5.49094116920E-04,1.08009083550E-03,8.34306527390E-04
2.50000000000E-02,2.03247806360E-03,7.09600835550E-04,5.40332694070E-04
2.75000000000E-02,-1.08144459720E-03,3.44900835550E-04,1.91491853910E-04
3.00000000000E-02,1.68628361290E-03,1.59700835550E-04,-2.82650580630E-06
3.25000000000E-02,-5.19251027570E-04,-2.58916445160E-06,-1.65887351610E-04
3.50000000000E-02,1.22575355310E-03,5.35800835550E-04,2.83253903040E-04
3.75000000000E-02,1.11684050550E-03,5.52920835550E-04,3.32794210410E-04
4.00000000000E-02,2.38555413600E-03,1.07999083550E-03,7.86344113290E-04
4.25000000000E-02,5.86969861420E-04,7.09590835550E-04,4.99260437210E-04
4.50000000000E-02,5.93918861530E-04,3.50600835550E-04,1.48818886370E-04
4.75000000000E-02,-1.87555422560E-03,3.73710835550E-04,1.31660082840E-04
5.00000000000E-02,2.31693057200E-03,1.09719083550E-03,7.59142974860E-04
5.25000000000E-02,5.57637428600E-04,1.28809083550E-03,9.83258942140E-04
5.50000000000E-02,3.23613244370E-03,1.64109083550E-03,1.30839063790E-03
5.75000000000E-02,1.52534251260E-03,1.45589083550E-03,1.18232425300E-03
6.00000000000E-02,1.40085739280E-03,1.23029083550E-03,9.80292912570E-04
6.25000000000E-02,2.56447916040E-04,-1.87569164450E-04,-2.64917500320E-04
6.50000000000E-02,1.77560091860E-03,3.62170835550E-04,1.00819510410E-04
6.75000000000E-02,-3.20472892540E-04,7.44390835550E-04,4.84846124890E-04
7.00000000000E-02,1.15526215800E-03,1.44419083550E-03,1.13675161260E-03
7.25000000000E-02,-8.43353947450E-04,9.06200835550E-04,7.41765077690E-04
7.50000000000E-02,1.96948324330E-03,9.00350835550E-04,7.11949192920E-04
7.75000000000E-02,-4.43768049550E-04,7.15150835550E-04,5.74376434090E-04
8.00000000000E-02,1.25390830920E-03,5.35800835550E-04,4.29838808490E-04
8.25000000000E-02,-6.83714558820E-04,5.47500835550E-04,4.51086001700E-04
8.50000000000E-02,1.28180940600E-03,8.88630835550E-04,7.75704160330E-04
8.75000000000E-02,-1.17375913250E-04,3.44670835550E-04,3.59365280020E-04
9.00000000000E-02,1.64300435200E-03,1.59480835550E-04,1.79830560230E-04
9.25000000000E-02,-7.57956457990E-04,-5.53091644520E-05,2.83477129410E-06
9.50000000000E-02,-8.45860405100E-04,-1.13090916450E-03,-9.27542510910E-04
9.75000000000E-02,-2.48262666350E-03,-1.11310916450E-03,-9.86007973550E-04
1.00000000000E-01,1.17836379460E-03,-5.57519164450E-04,-4.88104939000E-04
1.02500000000E-01,-5.58707237560E-04,-2.56091644520E-05,3.70263005610E-05
1.05000000000E-01,2.41284829050E-03,-1.81199164450E-04,-3.53326904590E-05
1.07500000000E-01,2.66517082880E-08,5.35800835550E-04,5.96151861830E-04
1.10000000000E-01,1.35382575990E-03,5.23800835550E-04,6.71544752550E-04
1.12500000000E-01,1.10957609270E-06,1.77400835550E-04,3.96129151340E-04
1.15000000000E-01,1.04595256850E-03,5.47800835550E-04,7.11189757570E-04
1.17500000000E-01,6.61941943920E-04,8.88190835550E-04,1.05816870930E-03
1.20000000000E-01,6.86947398150E-04,3.68600835550E-04,6.51475100310E-04
1.22500000000E-01,-1.43140630580E-03,9.18200835550E-04,1.09505048020E-03
