time,Ref,Package,LSTM
0.0000000000E+00,2.1424958491E-03,7.4878083555E-04,1.2980864267E-04
2.5000000000E-03,8.4382400051E-04,1.6357908355E-03,1.0346694617E-03
5.0000000000E-03,4.0070767658E-03,1.2877908355E-03,9.0255198302E-04
7.5000000000E-03,1.7570328896E-03,1.6186908355E-03,1.2429582421E-03
1.0000000000E-02,2.6598352407E-03,7.2663083555E-04,5.2402034635E-04
1.2500000000E-02,4.9896514818E-04,8.8367083555E-04,6.2294729287E-04
1.5000000000E-02,1.0541360570E-03,1.8229083555E-04,3.3113698009E-05
1.7500000000E-02,2.7032557464E-04,7.2100083555E-04,4.6270043822E-04
2.0000000000E-02,5.4146023483E-04,7.3226083555E-04,5.2214023890E-04
2.2500000000E-02,-5.4909411692E-04,1.0800908355E-03,8.3430652739E-04
2.5000000000E-02,2.0324780636E-03,7.0960083555E-04,5.4033269407E-04
2.7500000000E-02,-1.0814445972E-03,3.4490083555E-04,1.9149185391E-04
3.0000000000E-02,1.6862836129E-03,1.5970083555E-04,-2.8265058063E-06
3.2500000000E-02,-5.1925102757E-04,-2.5891644516E-06,-1.6588735161E-04
3.5000000000E-02,1.2257535531E-03,5.3580083555E-04,2.8325390304E-04
3.7500000000E-02,1.1168405055E-03,5.5292083555E-04,3.3279421041E-04
4.0000000000E-02,2.3855541360E-03,1.0799908355E-03,7.8634411329E-04
4.2500000000E-02,5.8696986142E-04,7.0959083555E-04,4.9926043721E-04
4.5000000000E-02,5.9391886153E-04,3.5060083555E-04,1.4881888637E-04
4.7500000000E-02,-1.8755542256E-03,3.7371083555E-04,1.3166008284E-04
5.0000000000E-02,2.3169305720E-03,1.0971908355E-03,7.5914297486E-04
5.2500000000E-02,5.5763742860E-04,1.2880908355E-03,9.8325894214E-04
5.5000000000E-02,3.2361324437E-03,1.6410908355E-03,1.3083906379E-03
5.7500000000E-02,1.5253425126E-03,1.4558908355E-03,1.1823242530E-03
6.0000000000E-02,1.4008573928E-03,1.2302908355E-03,9.8029291257E-04
6.2500000000E-02,2.5644791604E-04,-1.8756916445E-04,-2.6491750032E-04
6.5000000000E-02,1.7756009186E-03,3.6217083555E-04,1.0081951041E-04
6.7500000000E-02,-3.2047289254E-04,7.4439083555E-04,4.8484612489E-04
7.0000000000E-02,1.1552621580E-03,1.4441908355E-03,1.1367516126E-03
7.2500000000E-02,-8.4335394745E-04,9.0620083555E-04,7.4176507769E-04
7.5000000000E-02,1.9694832433E-03,9.0035083555E-04,7.1194919292E-04
7.7500000000E-02,-4.4376804955E-04,7.1515083555E-04,5.7437643409E-04
8.0000000000E-02,1.2539083092E-03,5.3580083555E-04,4.2983880849E-04
8.2500000000E-02,-6.8371455882E-04,5.4750083555E-04,4.5108600170E-04
8.5000000000E-02,1.2818094060E-03,8.8863083555E-04,7.7570416033E-04
8.7500000000E-02,-1.1737591325E-04,3.4467083555E-04,3.5936528002E-04
9.0000000000E-02,1.6430043520E-03,1.5948083555E-04,1.7983056023E-04
9.2500000000E-02,-7.5795645799E-04,-5.5309164452E-05,2.8347712941E-06
9.5000000000E-02,-8.4586040510E-04,-1.1309091645E-03,-9.2754251091E-04
9.7500000000E-02,-2.4826266635E-03,-1.1131091645E-03,-9.8600797355E-04
1.0000000000E-01,1.1783637946E-03,-5.5751916445E-04,-4.8810493900E-04
1.0250000000E-01,-5.5870723756E-04,-2.5609164452E-05,3.7026300561E-05
1.0500000000E-01,2.4128482905E-03,-1.8119916445E-04,-3.5332690459E-05
1.0750000000E-01,2.6651708288E-08,5.3580083555E-04,5.9615186183E-04
1.1000000000E-01,1.3538257599E-03,5.2380083555E-04,6.7154475255E-04
1.1250000000E-01,1.1095760927E-06,1.7740083555E-04,3.9612915134E-04
1.1500000000E-01,1.0459525685E-03,5.4780083555E-04,7.1118975757E-04
1.1750000000E-01,6.6194194392E-04,8.8819083555E-04,1.0581687093E-03
1.2000000000E-01,6.8694739815E-04,3.6860083555E-04,6.5147510031E-04
1.2250000000E-01,-1.4314063058E-03,9.1820083555E-04,1.0950504802E-03
1.2500000000E-01,2.4439394995E-03,1.2704908355E-03,1.4538164251E-03
1.2750000000E-01,-9.3628190569E-04,1.0793908355E-03,1.3220130932E-03
1.3000000000E-01,1.8815332928E-03,6.9669083555E-04,9.7170547815E-04
1.3250000000E-01,2.6767212963E-04,4.5908355484E-06,3.2947916770E-04
1.3500000000E-01,1.5024372594E-03,7.1492083555E-04,8.7323103799E-04
1.3750000000E-01,1.0269681565E-03,5.6009083555E-04,7.7888352098E-04
1.4000000000E-01,2.2121853339E-03,1.2521908355E-03,1.3460617047E-03
1.4250000000E-01,-4.7507483010E-04,5.1758083555E-04,7.4289721670E-04
1.4500000000E-01,-1.0007045721E-04,-5.6109164452E-05,1.5858217375E-04
1.4750000000E-01,-3.3081030056E-03,-1.1066091645E-03,-8.3308917237E-04
1.5000000000E-01,9.4254114725E-04,-3.7779916445E-04,-3.2256863778E-04
1.5250000000E-01,-1.2317531160E-03,-2.5809164452E-05,8.8674132712E-06
1.5500000000E-01,1.3095457195E-03,-1.9259916445E-04,-1.3889436377E-04
1.5750000000E-01,-6.5240028790E-04,1.5926083555E-04,1.2311554747E-04
1.6000000000E-01,7.8996360722E-04,-5.6609164452E-05,-5.7870463934E-05
1.6250000000E-01,-7.9540469416E-04,-1.1002091645E-03,-1.0021755006E-03
1.6500000000E-01,1.2567098907E-03,-2.0489916445E-04,-3.3109966898E-04
1.6750000000E-01,-7.0342531206E-04,-1.8645916445E-04,-2.5536463363E-04
1.7000000000E-01,3.2257491777E-04,3.6906083555E-04,2.1928484784E-04
1.7250000000E-01,-8.8559678207E-04,9.1242083555E-04,7.3307397543E-04
1.7500000000E-01,2.1343973294E-03,1.0975908355E-03,9.4416475622E-04
1.7750000000E-01,1.0135428916E-05,1.2453908355E-03,1.0988451540E-03
1.8000000000E-01,2.2859074454E-03,3.7549083555E-04,3.6871171324E-04
1.8250000000E-01,-2.5198888995E-04,1.0851908355E-03,9.2533929273E-04
1.8500000000E-01,1.5288674987E-03,8.8753083555E-04,8.2571653184E-04
1.8750000000E-01,6.1048425138E-05,3.6304083555E-04,3.6514602834E-04
1.9000000000E-01,1.8409480478E-03,7.2100083555E-04,6.3951627817E-04
1.9250000000E-01,2.7750648857E-04,6.9581083555E-04,6.5618223744E-04
1.9500000000E-01,-1.9663322951E-04,-4.4909164452E-05,1.8621620256E-05
1.9750000000E-01,-2.4696491118E-03,-7.2900916445E-04,-6.3447671710E-04
