time,Ref,Package,LSTM
0.000000,0.003240,0.001650,-0.001010
0.002500,0.000467,0.001490,-0.000479
0.005000,0.003010,0.002000,0.000159
0.007500,0.001390,0.001280,0.000378
0.010000,0.002560,0.001060,0.000427
0.012500,-0.000475,-0.000174,-0.000015
0.015000,0.002420,0.000519,-0.000119
0.017500,-0.001320,-0.000168,-0.000431
0.020000,0.001710,0.000740,-0.000325
0.022500,0.000068,0.001090,-0.000091
0.025000,0.002360,0.000716,-0.000039
0.027500,-0.000646,0.000340,-0.000142
0.030000,0.000239,-0.000174,-0.000412
0.032500,-0.001520,0.000537,-0.000357
0.035000,0.001490,0.000382,-0.000353
0.037500,0.000599,0.001110,-0.000078
0.040000,0.003330,0.001440,0.000255
0.042500,0.000355,0.000716,0.000231
0.045000,0.001680,0.000370,0.000061
0.047500,-0.000473,0.000746,0.000056
0.050000,0.003250,0.001270,0.000245
0.052500,0.000008,0.000907,0.000259
0.055000,0.002270,0.000722,0.000192
0.057500,0.000459,0.000537,0.000069
0.060000,0.001430,0.000351,-0.000090
0.062500,-0.000177,0.000160,-0.000272
0.065000,0.001560,-0.000173,-0.000516
0.067500,-0.000511,0.000561,-0.000416
0.070000,0.001980,0.001080,-0.000127
0.072500,-0.001300,0.000524,-0.000100
0.075000,0.002400,0.000000,-0.000280
0.077500,-0.001140,0.000358,-0.000294
0.080000,0.000003,0.000364,-0.000296
0.082500,-0.000310,0.000537,-0.000229
0.085000,0.001070,0.000351,-0.000241
0.087500,0.000581,0.000172,-0.000316
0.090000,0.002950,0.000172,-0.000372
0.092500,-0.000662,0.000191,-0.000402
0.095000,0.001040,0.000747,-0.000217
0.097500,-0.001400,0.001280,0.000121
0.100000,0.001800,0.001090,0.000302
0.102500,-0.000320,0.000728,0.000286
0.105000,0.000402,0.000709,0.000244
0.107500,-0.000264,0.000153,0.000000
0.110000,0.001250,-0.000364,-0.000376
0.112500,-0.000183,0.000191,-0.000447
0.115000,0.002390,0.000715,-0.000283
